"id","post_id","user_id","recipient_id","postText","page_id","group_id","event_id","page_event_id","postLink","postLinkTitle","postLinkImage","postLinkContent","postVimeo","postDailymotion","postFacebook","postFile","postFileName","postFileThumb","postYoutube","postVine","postSoundCloud","postPlaytube","postDeepsound","postMap","postShare","postPrivacy","postType","postFeeling","postListening","postTraveling","postWatching","postPlaying","postPhoto","time","registered","album_name","multi_image","multi_image_post","boosted","product_id","poll_id","blog_id","forum_id","thread_id","videoViews","postRecord","postSticker","shared_from","post_url","parent_id","cache","comments_status","blur","color_id","job_id","offer_id","fund_raise_id","fund_id","active","stream_name","agora_token","live_time","live_ended","agora_resource_id","agora_sid","send_notify","240p","360p","480p","720p","1080p","2048p","4096p","processing"
"32","32","1","0","Al terminar el partido entre Polonia y México, aficionados mexicanos se quedaron hasta el final para organizarse y limpiar las gradas.  <br>Un grupo de aficionados comenzaron a juntar PET y otra basura para dejar lo más limpio el estadio y así ayudar a la gente de limpieza. 🥰 <br>ESTAS SON LAS COSAS QUE QUEREMOS PRESUMIR. 👏❤️","0","0","0","0","","","","","","","","","","","","","","","","","0","0","post","","","","","","","1669438060","11/2022","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"33","33","1","0","¿Ya conoces la ruta de hongos en #Chavarrías Cadereyta? 😍🍄 <br>Un hermoso bosque en lo más alto de la montaña del Espolón, un lugar con senderos increíbles donde disfrutarás un rico clima templado. 🌲 <br>Sigue a nuestros amigos de Chavarrias Cadereyta Queretaro","0","0","0","0","","","","","","","","","","","","","","","","","0","0","post","","","","","","","1669438086","11/2022","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"53","53","10","0",\N,"0","0","0","0","",\N,"",\N,"","","","upload/photos/2022/12/ZatCdRm7xi1bMEIKFtWW_08_bb463df126fe6b07ad02c9a8b8aff5eb_avatar_full.jpg","","","","","","","","","0","0","profile_picture","","","","","","","1670534137","12/2022","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"54","54","1","0","","0","0","0","0","","","","","","","","","","","ZFLtEa3fCRA","","","","","","0","0","post","","","","","","","1673794708","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"56","56","2","0",\N,"0","0","0","0","",\N,"",\N,"","","","upload/photos/2023/01/lfBQYubk41eAuZBLvJUe_19_1023b06a4c1b05eb5912221e96b6e5c9_avatar_full.jpeg","","","","","","","","","0","0","profile_picture","","","","","","","1674165332","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"58","58","1","0","Un poco de humor que, sin embargo, nos hace ver como nos cuentan historias para construir el mundo en el que &quot;debemos&quot; vivir. <br>Mans al Terra es una comunidad que diseña y construye su propio futuro viviendo el presente de un modo consciente. <br> <br>SE PARTE TÚ TAMBIÉN <br> <br>#[19] #[20] #[21] #[22] #[23] #[24] #[25] #[26] #[27] #[28] #[29] #[30] #[31] #[32] #[33] #[22] #[34] #[35] #[36] #[37] #[38] #[23]","0","0","0","0","","","","","","","","upload/videos/2023/01/8PtkMNguo4DiYM7hJWCx_20_db4a3591c755708c675bcaa57e9ef73a_video.mp4","120492110_2154380314746687_4406807410448125185_n.mp4","","","","","","","","0","0","post","","","","","","","1674244323","1/2023","","0","0","0","0","0","0","0","0","6","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"59","59","13","0",\N,"0","0","0","0","",\N,"",\N,"","","","upload/photos/2023/01/lOhUNqjJ1Ip4YJAQ7WYr_20_486647ee037cbaf3e9d92a8867be0bc3_avatar_full.jpg","","","","","","","","","0","0","profile_picture","","","","","","","1674246102","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"60","60","14","0",\N,"0","0","0","0","",\N,"",\N,"","","","upload/photos/2023/01/KaKV8bUwi8cMQi7fZJJw_22_7d7c57be00817d77e8f3858d034342f8_avatar_full.jpg","","","","","","","","","0","0","profile_picture","","","","","","","1674383534","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"61","61","15","0",\N,"0","0","0","0","",\N,"",\N,"","","","upload/photos/2023/01/q7UF2uKx12hZP5PSOkZ8_22_d0ff6bc8ef6e80b5e444266ee1d52746_avatar_full.jpg","","","","","","","","","0","0","profile_picture","","","","","","","1674418732","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
"62","62","2","0","Temporada de recoleccion de CAFE en Chiapas, Mexico! A todo color!  <br>#[40] #[41] #[42] #[43]","0","0","0","0","","","","","","","","upload/photos/2023/01/ByTJoLUciN3AlOCFPcwm_24_aba9869b63a8a1c3074a67ecf3391b47_image.jpg","IMG-20230104-WA0018.jpg","","","","","","","","0","0","post","","","","","","","1674524381","1/2023","","0","0","0","0","0","0","0","0","0","",\N,"0",\N,"0","0","1","0","0","0","0","0","0","1","",\N,"0","0",\N,"","","0","0","0","0","0","0","0","0"
